지점명	아파트명	준공년월	세대	distance	매매가하한	매매가상한
스타벅스 인천송도DT점	송도웰카운티4단지아파트	2010.02	465.0	2.3603294680997364	480000000.0	940000000.0
스타벅스 부산안락DT점	부산더샵파크시티	2015.06	1758.0	0.9240091782602862	390000000.0	650000000.0
스타벅스 군산나운DT점	나운3차주공아파트	1983.12	800.0	0.30433847003177583	52000000.0	73000000.0
스타벅스 청주비하DT점	청주하복대아름다운나날1차아파트	2003.1	952.0	0.2765790261571888	170000000.0	190000000.0
스타벅스 전북정읍DT점	정읍연지동영무예다음	2017.06	821.0	0.3429179056189009	181000000.0	373000000.0
스타벅스 수원IC DT점	황골마을주공1단지아파트	1997.12	3129.0	0.6695836389888921	210000000.0	300000000.0
스타벅스 세종다정DT점	새뜸마을14단지더샵힐스테이트아파트	2017.04	222.0	1.027048258794953	840000000.0	1050000000.0
스타벅스 울산호계DT점	울산신천효성해링턴플레이스아파트	2018.06	914.0	0.7300718559691189	240000000.0	330000000.0
스타벅스 울산중리사거리DT점	평창현대3차아파트	1995.1	782.0	0.1917974469762487	205000000.0	435000000.0
스타벅스 광주금호DT점	광주상무푸르지오아파트	2011.06	470.0	0.23963531270281604	600000000.0	870000000.0
스타벅스 마산회원DT점	메트로시티2단지아파트	2015.1	1915.0	1.1341449880487946	350000000.0	660000000.0
스타벅스 인천갈산DT점	부평삼산지구엠코타운아파트	2007.08	708.0	0.3213111735791114	290000000.0	540000000.0
스타벅스 동대구로DT점	동대구유성푸르나임아파트	2014.11	672.0	0.4605608265253942	3600000000.0	3600000000.0
스타벅스 광주효천DT점	광주효천중흥S클래스아파트	2015.07	662.0	2.914006388766238	355000000.0	580000000.0
스타벅스 대전가수원DT점	계룡아파트	1986.05	780.0	0.17999715732341307	110000000.0	165000000.0
스타벅스 연희DT점	연화아파트	1975.12	32.0	0.2127002885025156	800000000.0	800000000.0
스타벅스 광명소하DT점	광명역세권휴먼시아3단지아파트	2011.02	797.0	0.34923506026012674	620000000.0	700000000.0
스타벅스 용인보라DT점	보라마을현대모닝사이드아파트	2003.06	771.0	0.3345064077624499	265000000.0	375000000.0
스타벅스 대전대사DT점	센트럴웅진스타클래스	2013.08	250.0	0.4328287339817592	146000000.0	270000000.0
스타벅스 경남사천DT점	토성에어빌아파트관리사무실(에스엠)			0.2260053094490226		
스타벅스 천안IC DT점	도솔노블시티동문굿모닝힐아파트	2018.05	2144.0	0.5569203145891739	245000000.0	410000000.0
스타벅스 강동구청DT점	성안마을청구아파트	2002.07	349.0	0.2928538031855774	345000000.0	900000000.0
스타벅스 북오산IC DT점	서동탄역더샵파크시티	2019.07	2400.0	0.6961332577870328	380000000.0	615000000.0
스타벅스 대전수침교DT점	유등마을쌍용아파트	2000.07	964.0	0.4038117487570041	240000000.0	430000000.0
스타벅스 대구공평DT점	동인시티타운아파트	1997.07	204.0	0.3494190605597401	118000000.0	260000000.0
스타벅스 진해자은DT점	자은협성DS이아이존빌아파트	2014.06	433.0	0.3948444434350935	190000000.0	270000000.0
스타벅스 울산도산사거리DT점	울산센트럴자이아파트	2015.11	288.0	0.8889153542768087	400000000.0	635000000.0
스타벅스 김포감정DT점	중봉마을신안실크밸리3차아파트	2012.12	1074.0	0.25983834678981205	275000000.0	430000000.0
스타벅스 인천동춘DT점	인천연수서해그랑블1단지아파트	2017.11	1043.0	0.986786870290172	365000000.0	475000000.0
스타벅스 광주방림DT점	광주양림휴먼시아1단지아파트	2008.09	987.0	0.3706355538285553	285000000.0	460000000.0
스타벅스 대전한남대DT점	영진로얄아파트	1989.05	750.0	0.42975168559428295	55000000.0	170000000.0
스타벅스 경주터미널DT점	동부이끌림6차			0.23635502747744744		
스타벅스 온천장역DT점	래미안장전아파트	2017.09	1938.0	0.2010384497813764	560000000.0	1125000000.0
스타벅스 제주용담DT점	가나아파트			1.7390059164501777		
스타벅스 서귀포DT점	제주강정유승한내들퍼스트오션아파트	2017.03	499.0	25.37162004750474	400000000.0	740000000.0
스타벅스 리버사이드팔당DTR점	한강우성아파트	1998.07	1488.0	1.2511087871482074	245000000.0	520000000.0
스타벅스 방화DT점	방화2-1단지SH빌아파트	1993.1	2547.0	0.23018552375343065	250000000.0	395000000.0
스타벅스 천안불당DT점	불당호반베르디움더퍼스트	2016.1	1096.0	1.3191657620220736	400000000.0	670000000.0
스타벅스 신림DT점	라이프미성아파트	1982.1	280.0	3.7845811765957875	515000000.0	700000000.0
스타벅스 포항장성DT점	포항장성두산위브더제니스아파트	2010.12	1713.0	2.7634985745565124	215000000.0	400000000.0
스타벅스 용인시청DT점	용인행정타운두산위브2단지아파트	2013.11	624.0	0.22118673068078	375000000.0	485000000.0
스타벅스 제주성산DT점	드림팰리스아파트			0.6955080491988441		
스타벅스 원당DT점	어울림마을동신7단지아파트	1992.11	390.0	3.855790855865796	360000000.0	440000000.0
스타벅스 시흥대야DT점	e편한세상시흥센텀하임아파트	2019.09	659.0	0.5335769637583576	400000000.0	480000000.0
스타벅스 창원호계DT점	코오롱하늘채1차아파트	2001.11	2040.0	0.489602008925513	125000000.0	275000000.0
스타벅스 김해대로DT점	김해부원역푸르지오아파트	2014.08	915.0	1.6219938036906176	360000000.0	700000000.0
스타벅스 수원권선DT점	오목천서희스타힐스아파트	2016.12	844.0	0.11839093177181345	390000000.0	540000000.0
스타벅스 양주송추DT점	송추마을우남아파트	2001.09	395.0	0.5816432482760332	178000000.0	205000000.0
스타벅스 마산해안대로DT점	마린파이브	2014.07	536.0	0.16929117138845862	210000000.0	260000000.0
스타벅스 제주애월DT점	이강센스타운아파트			0.4721231459990156		
스타벅스 목포터미널DT점	목포상동호반리젠시빌아파트입구			1.3118585663209537		
스타벅스 구미상모DT점	구미상모한신휴플러스아파트	2015.11	998.0	2.82220140949961	160000000.0	280000000.0
스타벅스 의정부회룡역DT점	신일유토빌	2003.04	1432.0	0.15974991506377267	350000000.0	590000000.0
스타벅스 의정부신곡DT점	풍림한국아파트			0.3188800835089699		
스타벅스 서산예천DT점	e편한세상서산예천아파트	2017.02	936.0	1.95958806586132	210000000.0	345000000.0
스타벅스 안성공도DT점	송정그린빌아파트	2001.12	860.0	0.5697920073132897	90000000.0	135000000.0
스타벅스 대구칠곡대로DT점	강북화성파크드림아파트	2007.12	392.0	0.3054906444673741	290000000.0	470000000.0
스타벅스 금정구청DT점	경남한신아파트	1995.03	1408.0	0.3649113804372807	215000000.0	557000000.0
스타벅스 용인동백DT점	어정마을동백아이파크아파트	2007.03	313.0	0.4952748195051136	390000000.0	520000000.0
스타벅스 광주용두DT점	광주첨단2지구제일풍경채리버파크아파트	2014.05	613.0	1.978423817638652	295000000.0	475000000.0
스타벅스 평내DT점	평내대주파크빌1차아파트	2005.03	595.0	0.3488445233917956	250000000.0	300000000.0
스타벅스 용인마북DT점	구성삼성래미안1차아파트	2002.12	1282.0	0.4914758985014906	720000000.0	890000000.0
스타벅스 김해외동DT점	e편한세상봉황역	2017.06	936.0	2.5233212416264315	265000000.0	385000000.0
스타벅스 안양호계DT점	내안애팰리스	2009.12	100.0	0.0920113134210597	315000000.0	350000000.0
스타벅스 광주신세계DT점	화정동삼익맨션1차아파트	1979.07	276.0	0.09721417208895257	145000000.0	330000000.0
스타벅스 청주율량DT점	율량서희스타힐스아파트	2016.06	508.0	0.367765081459332	255000000.0	340000000.0
스타벅스 화성병점DT점	다람마을월드메르디앙2차아파트	2005.11	109.0	0.29883805979055394	215000000.0	250000000.0
스타벅스 신월IC DT점	신월보람6차아파트	2005.1	136.0	0.28141868986753754	345000000.0	375000000.0
스타벅스 동부산DT점	송정휴먼시아2단지아파트			0.9190342608834368		
스타벅스 오산IC DT점	원동이편한세상2단지아파트	2007.06	1360.0	1.009969731606754	260000000.0	430000000.0
스타벅스 강릉송정DT점	포남동주공1차아파트	1981.1	640.0	1.06069123313742	58000000.0	64000000.0
스타벅스 부산교대역DT점	부산더샵파크시티	2015.06	1758.0	2.060948185372658	390000000.0	650000000.0
스타벅스 국립대구박물관DT점	가든하이츠1단지아파트	1985.12	220.0	0.9207371914860192	845000000.0	1185000000.0
스타벅스 백석역DT점	흰돌마을서안5단지아파트	1994.06	628.0	0.4498441453332973	280000000.0	415000000.0
스타벅스 창원역DT점	창원중동유니시티1단지아파트	2019.06	1803.0	1.7807224942580313	440000000.0	940000000.0
스타벅스 공릉DT점	현대아파트	1999.05	145.0	0.2587375774410005	325000000.0	460000000.0
스타벅스 춘천석사DT점	춘천휴먼타운아파트	2002.05	1110.0	0.3740613709449231	180000000.0	210000000.0
스타벅스 청주용암DT점	용암동현대홈타운아파트	1995.1	476.0	0.5277624550370024	145000000.0	165000000.0
스타벅스 전북대병원DT점	금암동중앙하이츠아파트	2007.07	602.0	0.47895601822522	155000000.0	275000000.0
스타벅스 전주평화DT점	평화동우미아파트	1996.06	603.0	0.17168739516892406	85000000.0	91000000.0
스타벅스 이천증포DT점	이천설봉KCC스위첸아파트	2016.08	562.0	1.204667310041027	250000000.0	380000000.0
스타벅스 인천강화DT점	강화남산리미래지향아파트	2011.11	120.0	0.34592674548256896	235000000.0	290000000.0
스타벅스 제주삼화DT점	삼화부영6차아파트관리사무소			0.3131212693324205		
스타벅스 광주신안DT점	용봉신안고운하이플러스			0.08712047115290493		
스타벅스 대구평리DT점	평리청구타운아파트	2000.03	605.0	0.2237050648163208	187000000.0	360000000.0
스타벅스 수영강변DT점	아시아선수촌아파트	2002.06	2290.0	0.2543263171806973	265000000.0	530000000.0
스타벅스 울산시청사거리DT점	삼환아르누보아파트	2009.04	127.0	0.3848916691438543	335000000.0	455000000.0
스타벅스 양주광사DT점	신도브레뉴8차아파트	1999.09	400.0	0.31058864791375906	130000000.0	225000000.0
스타벅스 대전유천DT점	한사랑벽산아파트	1994.07	120.0	0.2412066043062697	185000000.0	290000000.0
스타벅스 포천DT점	세창선단마을아파트	2001.05	398.0	0.6469528783466256	145000000.0	155000000.0
스타벅스 경기광주송정DT점	금강펜테리움2단지아파트	2010.06	344.0	1.2600385695262912	230000000.0	360000000.0
스타벅스 광주운남DT점	운남삼성아파트	1996.12	1956.0	0.281671305774764	110000000.0	185000000.0
스타벅스 부천심곡DT점	연화마을건영캐스빌아파트	1994.03	424.0	0.3331213477356449	215000000.0	430000000.0
스타벅스 용인김량장DT점	용인고림지구양우내안애에듀파크	2018.04	737.0	0.4629186580603937	292500000.0	397500000.0
스타벅스 대전판암DT점	인동어진마을아파트	2007.04	813.0	1.1207181609419683	230000000.0	370000000.0
스타벅스 여수둔덕DT점	한려아파트	1997.05	1026.0	0.8006578749909742	105000000.0	195000000.0
스타벅스 고양DT점	푸른마을동익미라벨3단지아파트	2004.06	958.0	0.24866687497124754	195000000.0	235000000.0
스타벅스 아산방축DT점	아산반도유보라아파트	2016.03	650.0	0.5243906266169315	175000000.0	192500000.0
스타벅스 울산정자비치DT점	블루마시티KCC스위첸	2019.04	582.0	0.18164481974241264	318000000.0	435000000.0
스타벅스 안성석정DT점	한빛마을우남퍼스트빌아파트	2007.11	486.0	0.2667666811038413	230000000.0	360000000.0
스타벅스 다대포DT점	다대동현대아파트	1993.09	2181.0	1.1364665728187413	150000000.0	340000000.0
스타벅스 명지강변DT점	중흥S클래스에듀오션아파트	2018.02	750.0	0.3280124122668799	315000000.0	450000000.0
스타벅스 송파나루역DT점	잠실리시온	2004.05	476.0	0.4936470759254434	225000000.0	405000000.0
스타벅스 인천학익DT점	동아풍림아파트	1999.11	1480.0	0.2764572294730286	230000000.0	360000000.0
스타벅스 제주외도DT점	가온체리티	2005.12	46.0	0.505492527656374		
스타벅스 광주신가DT점	광주수완대방노블랜드5차아파트	2011.1	545.0	1.5788023957787307	600000000.0	740000000.0
스타벅스 대구황금DT점	대구수성SK리더스뷰아파트	2010.09	788.0	0.2520421268695906	925000000.0	1890000000.0
스타벅스 수원인계DT점	인계베스트빌아파트	2004.08	64.0	0.3631316999581264	195000000.0	210000000.0
스타벅스 동두천DT점	동원베네스트아파트	2009.07	486.0	0.15629782329150135	205000000.0	310000000.0
스타벅스 대전터미널DT점	효촌마을아파트	2003.04	818.0	0.2428199877156041	170000000.0	280000000.0
스타벅스 수지성복DT점	수지LG빌리지1차아파트	2001.02	1164.0	0.429604596640826	750000000.0	980000000.0
스타벅스 대구수성도서관DT점	메트로팔레스3단지아파트	2003.01	878.0	0.33897591648358144	410000000.0	720000000.0
스타벅스 동명대DT점	한신문화타운	1990.1	330.0	0.22420082626060425	190000000.0	400000000.0
스타벅스 의왕청계DT점	인덕원푸르지오엘센트로	2019.11	1774.0	0.4639199877640491	1015000000.0	1235000000.0
스타벅스 제주도남DT점	영도그린힐아파트			1.2493201361648263		
스타벅스 구미금오산DT점	푸르지오캐슬A단지아파트	2007.08	1878.0	1.4351349026461155	158000000.0	415000000.0
스타벅스 울산MBC DT점	번영로효성해링턴플레이스	2015.09	207.0	0.7009357903586653	375000000.0	440000000.0
스타벅스 제주중문DT점	제주중문남해오네뜨오션힐	2016.11	290.0	1.2716426147371986	257000000.0	299000000.0
스타벅스 수원경수인계DT점	해피포트아파트	2004.01	19.0	0.2903743139309111	600000000.0	600000000.0
스타벅스 대구중동DT점	수성동삼익맨션	1978.12	100.0	0.4512571173900023	150000000.0	235000000.0
스타벅스 인천서구청DT점	연희극동늘푸른아파트	1997.08	998.0	0.3048442633010807	175000000.0	260000000.0
스타벅스 구미도량DT점	구미도량지구현진에버빌	2005.12	580.0	0.28292753906821216	220000000.0	370000000.0
스타벅스 전남광양DT점	광양e편한세상아파트	2016.06	440.0	0.3816468894162156	255000000.0	310000000.0
스타벅스 충주시청DT점	충주센트럴푸르지오	2018.1	608.0	0.3183622819835015	300000000.0	345000000.0
스타벅스 수원망포DT점	그대가프리미어아파트	2010.08	602.0	0.3117894957391994	500000000.0	850000000.0
스타벅스 풍무사거리DT점	풍무대림아파트	2003.09	575.0	0.4182970397849622	250000000.0	280000000.0
스타벅스 경주보문호수DT점				13450.771688590712		
스타벅스 공주동학사DT점				13262.463175830315		
스타벅스 경주보문로DT점				13452.86761953798		
