지점명	latitude	longitude	address
스타벅스 강동구청DT점	37.5291389	127.1237922	성내동 550
스타벅스 강동암사DT점	37.555040000000005	127.1300647	암사동 441-12
스타벅스 강릉송정DT점	37.7718657	128.9229264	강원도 강릉시 경강로 2402    2020-03-31 18:56:50.526315776
스타벅스 경기광주송정DT점	37.424434999999995	127.26284150000001	송정동 12-12 1필지
스타벅스 경기광주신현DT점	37.3598852	127.15303909999999	신현리 701-5
스타벅스 경기광주쌍령DT점	37.3987506	127.2733178	쌍령동 168
스타벅스 경남사천DT점	35.0811505	128.0837012	수석리 320-1
스타벅스 경산중방DT점	35.8274664	128.7370404	중방동 847-6
스타벅스 경인교대입구역DT점	37.5355197	126.722153	작전동 852-30 852-31
스타벅스 경주보문로DT점	35.838824200000005	129.2859021	천군동 1584-33 외 1번지(신평동 719-220)
스타벅스 경주보문호수DT점	35.8532391	129.26868770000002	북군동 57-40 1~3층
스타벅스 경주터미널DT점	35.8381689	129.2033261	사정동 488-7 8
스타벅스 계룡대로DT점	36.2883806	127.2443977	엄사리 284
스타벅스 고양DT점	37.7095394	126.9052947	고양동 568
스타벅스 공릉DT점	37.6206966	127.07431969999999	공릉동 597-34 597-30, 597-31, 597-32
스타벅스 공주동학사DT점	36.36336	127.2535628	학봉리 436-1
스타벅스 과천DT점	37.439266700000005	126.99380190000001	경기도 과천시 중앙동 79
스타벅스 광명소하DT점	37.434824799999994	126.87917490000001	소하동 1077
스타벅스 광주금호DT점	35.1421126	126.85766459999999	쌍촌동 902-13
스타벅스 광주매곡DT점	35.1898357	126.8986979	매곡동 15
스타벅스 광주방림DT점	35.1349802	126.91769779999998	방림동 343-20
스타벅스 광주산정DT점	35.1734186	126.80418030000001	산정동 917-11
스타벅스 광주상무DT점	35.1499296	126.85483149999999	쌍촌동 973-9
스타벅스 광주선운DT점	35.20323	126.818724	광주광역시 광산구 수완동 699-27
스타벅스 광주수완DT점	35.203174600000004	126.8190648	수완동 670-11
스타벅스 광주신가DT점	35.1790794	126.83013829999999	신가동 706-1
스타벅스 광주신세계DT점	35.1562471	126.8827962	화정동 177-2
스타벅스 광주신안DT점	35.1714325	126.89496570000001	신안동 333
스타벅스 광주연제DT점	35.2014475	126.86364259999999	연제동 1088
스타벅스 광주용두DT점	35.2127954	126.8684744	광주 북구 신용동 산41-19
스타벅스 광주운남DT점	35.1751089	126.8180646	운남동 414-31
스타벅스 광주운암DT점	35.1776306	126.8784132	운암동 65-11
스타벅스 광주월산DT점	35.1457088	126.8909107	월산동 963-3
스타벅스 광주주월DT점	35.1341387	126.8981372	주월동 960-13
스타벅스 광주지산DT점	35.1497144	126.92907549999998	동명동 12-3
스타벅스 광주지원DT점	35.1183787	126.9333814	광주 동구 용산동 168-1
스타벅스 광주화정DT점	35.1522047	126.87999690000001	화정동 769-1
스타벅스 광주효천DT점	35.0999185	126.87146729999999	임암동 141-3 143-2
스타벅스 광주흑석DT점	35.17695429999999	126.80779629999999	산정동 909-3
스타벅스 구미금오산DT점	36.1222364	128.3239723	남통동 414-4 - 4번지
스타벅스 구미도량DT점	36.1383354	128.3168261	도량동 315
스타벅스 구미상모DT점	36.0823172	128.3563847	상모동 478-5 상모주유소
스타벅스 구미시청DT점	36.1176314	128.3416068	송정동 33-11
스타벅스 구의DT점	37.545357	127.08717140000002	구의동 67-36
스타벅스 국립대구박물관DT점	35.84555170000001	128.63908840000002	황금동 69-3 64-5
스타벅스 군산나운DT점	35.9626875	126.6955737	나운동 843-6
스타벅스 금정구청DT점	35.2388015	129.0928998	부곡동 217-2
스타벅스 금정남산동DT점	35.264433700000005	129.0926098	남산동 68-1 남산프라자
스타벅스 기장역DT점	35.242151299999996	129.220117	청강리 31-1
스타벅스 김천시청DT점	36.132503899999996	128.1175904	신음동 1000-3
스타벅스 김포감정DT점	37.6247863	126.6964285	감정동 502-20
스타벅스 김포풍무DT점	37.599827000000005	126.7204152	풍무동 620-11
스타벅스 김해구산DT점	35.2553715	128.8664291	구산동 836-1
스타벅스 김해대로DT점	35.2279643	128.8965541	삼정동 616-5
스타벅스 김해외동DT점	35.2293661	128.8627976	경남 김해시 외동 559 1~2층
스타벅스 김해진영DT점	35.3058947	128.7313911	경상남도 김해시 진영읍 진영리 81
스타벅스 낙성대DT점	37.476169299999995	126.9650053	봉천동 1657-3
스타벅스 남양산IC DT점	35.3194621	129.0306908	석산리 966
스타벅스 남양주연평DT점	37.711316700000005	127.18532009999998	연평리 59-3
스타벅스 남양주진접DT점	37.7230756	127.1903572	장현리 230-6
스타벅스 다대포DT점	35.0556365	128.9674986	다대동 293-1
스타벅스 당진시곡DT점	36.9026106	126.6837943	충남 당진시 시곡동 67-2 대우임산제재소
스타벅스 대구감삼DT점	35.8443842	128.5366553	감삼동 490-1
스타벅스 대구공평DT점	35.8695386	128.6007534	동인동2가 25-1 1~2층
스타벅스 대구도원DT점	35.8077269	128.5481165	도원동 577
스타벅스 대구두류DT점	35.8588586	128.5612941	두류동 135-14
스타벅스 대구만촌DT점	35.8563651	128.6502429	만촌동 853-3
스타벅스 대구상동DT점	35.8296424	128.6116932	상동 415-1
스타벅스 대구상인DT점	35.822283	128.5343795	상인동 54-3 1~2층
스타벅스 대구성서IC DT점	35.8507998	128.5202604	용산동 410-9 12
스타벅스 대구수성네거리DT점	35.8604584	128.61804180000001	수성동4가 1021-8
스타벅스 대구수성도서관DT점	35.872798700000004	128.6389953	만촌동 1329-17 1, 33, 34
스타벅스 대구앞산DT점	35.8356394	128.579943	대명동 493-38
스타벅스 대구영대병원역DT점	35.8454732	128.5935246	봉덕동 595-7
스타벅스 대구월곡DT점	35.8148659	128.5410568	상인동 620
스타벅스 대구중동DT점	35.846206	128.611414	대구 수성구 희망로24길 24
스타벅스 대구중동네거리DT점	35.840917100000006	128.6139627	중동 184-4
스타벅스 대구칠곡대로DT점	35.926590000000004	128.5479626	태전동 1049-2
스타벅스 대구칠성DT점	35.879674	128.59639109999998	칠성동2가 371-5
스타벅스 대구침산DT점	35.8874784	128.5918376	침산동 245-1
스타벅스 대구평리DT점	35.8664101	128.555225	평리동 1407-7
스타벅스 대구황금DT점	35.8390688	128.625797	지산동 941
스타벅스 대전IC DT점	36.3542137	127.4445324	비래동 555-15
스타벅스 대전가수원DT점	36.3035739	127.3489943	가수원동 655-20 스타벅스
스타벅스 대전대사DT점	36.318822600000004	127.41746289999999	대사동 248-296
스타벅스 대전도안DT점	36.3514622	127.3399813	봉명동 555-3
스타벅스 대전수침교DT점	36.33496829999999	127.39672890000001	용문동 250-3
스타벅스 대전신탄진DT점	36.44866029999999	127.4199831	석봉동 309-10
스타벅스 대전유천DT점	36.318296600000004	127.39823829999999	유천동 185-3
스타벅스 대전터미널DT점	36.3477532	127.4342841	성남동 502-2
스타벅스 대전판암DT점	36.3170133	127.45362320000001	판암동 450
스타벅스 대전한남대DT점	36.3584284	127.4231358	중리동 231-10
스타벅스 동대구로DT점	35.86808679999999	128.6271589	신천동 300-2
스타벅스 동두천DT점	37.888925	127.05706629999999	지행동 475-1
스타벅스 동래미남DT점	35.2071981	129.0719709	온천동 1428-36
스타벅스 동명대DT점	35.1231425	129.098904	용당동 532-26
스타벅스 동부산DT점	35.1839631	129.2108509	시랑리 589-6
스타벅스 동서대DT점	35.1507396	129.00968740000002	주례동 189-9
스타벅스 동수원DT점	37.2780155	127.0337778	우만동 153-7 유성주유소
스타벅스 동탄능동DT점	37.213750700000006	127.06358190000002	능동 471-7
스타벅스 동해DT점	37.5201864	129.1147727	천곡동 1020
스타벅스 리버사이드팔당DTR점	37.5670974	127.22837820000001	도곡리 504-15
스타벅스 마산역DT점	35.236200399999994	128.5805449	석전동 223-4
스타벅스 마산해안대로DT점	35.2041973	128.5805718	오동동 317
스타벅스 마산회원DT점	35.22054489999999	128.57444669999998	회원동 43-5
스타벅스 명지강변DT점	35.1026237	128.9294804	명지동 1459-1
스타벅스 목포북항DT점	34.80863370000001	126.3732658	산정동 1750-8 외 2필지
스타벅스 목포터미널DT점	34.81021	126.417107	전라남도 목포시 상동 131-10
스타벅스 밀양DT점	35.4853735	128.7512271	삼문동 532-3
스타벅스 방화DT점	37.574338899999994	126.81641450000001	방화동 293-4
스타벅스 백석역DT점	37.6439377	126.7873856	백석동 1296-3 1층
스타벅스 부산교대역DT점	35.198969700000006	129.07884140000002	부산광역시 연제구 거제동 125-0
스타벅스 부산안락DT점	35.1958595	129.1069541	안락동 256-4
스타벅스 부산재송DT점	35.181271	129.1240501	재송동 572-2 외 4필지
스타벅스 부천심곡DT점	37.4929848	126.7843652	심곡동 110-5
스타벅스 부천중동DT점	37.4963743	126.7642	중동 628-14
스타벅스 부평삼거리역DT점	37.4765331	126.71020190000002	간석동 772
스타벅스 북수원IC DT점	37.307955799999995	126.998326	파장동 469-4
스타벅스 북오산IC DT점	37.189890999999996	127.0592024	외삼미동 327-29
스타벅스 사상주례DT점	35.154883899999994	128.9962191	주례동 854
스타벅스 서귀포DT점	33.2387359	126.2315851	제주 서귀포시 일주서로 11
스타벅스 서산예천DT점	36.7717265	126.44017140000001	예천동 696-7
스타벅스 세종다정DT점	36.496008	127.254332	다정동 639
스타벅스 속초DT점	38.189870899999995	128.58441240000002	조양동 1002-39
스타벅스 송파나루역DT점	37.5107662	127.1102915	송파동 59-9 송봉주유소
스타벅스 송파방이DT점	37.50654779999999	127.12052630000001	방이동 226-10
스타벅스 수영강변DT점	35.2038182	129.1193574	반여동 1201
스타벅스 수영망미DT점	35.1773864	129.1074676	망미동 412-27
스타벅스 수원IC DT점	37.2671855	127.0744855	영덕동 522-2 LG동광주유소
스타벅스 수원KBS DT점	37.271122399999996	127.0352126	인계동 363-5
스타벅스 수원경수인계DT점	37.270523600000004	127.02756000000001	경기 수원시 팔달구 인계동 963-11
스타벅스 수원권선DT점	37.246361900000004	126.96401670000002	오목천동 321-20
스타벅스 수원망포DT점	37.2458277	127.05134	망포동 38-23 GS칼텍스삼신주유소
스타벅스 수원세류DT점	37.262828999999996	127.0112092	세류동 325-1
스타벅스 수원연무DT점	37.2921664	127.02873079999999	연무동 247-16
스타벅스 수원인계DT점	37.267942	127.02820990000002	인계동 1019 1~2층
스타벅스 수지성복DT점	37.314031299999996	127.07913319999999	성복동 83-2 1~2층
스타벅스 시흥대야DT점	37.441666999999995	126.7877611	대야동 501-3
스타벅스 신림DT점	37.4626176	126.9383251	신림동 564-12
스타벅스 신영통DT점	37.234309100000004	127.063002	반월동 163-3
스타벅스 신월IC DT점	37.529391100000005	126.83205590000001	신월동 205-49
스타벅스 신정DT점	37.5220098	126.85887450000001	신정동 981-15
스타벅스 아산방축DT점	36.7836376	126.99266999999999	방축동 124-5
스타벅스 안성공도DT점	37.0095034	127.2007549	마정리 147-8
스타벅스 안성석정DT점	37.0103421	127.2620805	석정동 254-3
스타벅스 안양비산DT점	37.3924933	126.9428578	비산동 580-6
스타벅스 안양석수DT점	37.4310609	126.90345259999998	석수동 385-3
스타벅스 안양운동장사거리DT점	37.401109999999996	126.9492085	비산동 1054
스타벅스 안양호계DT점	37.3665605	126.9560115	호계동 714-5
스타벅스 양산덕계DT점	35.3759862	129.1556621	덕계동 323-2
스타벅스 양주광사DT점	37.790532299999995	127.0724205	광사동 342-7
스타벅스 양주덕정역DT점	37.838196999999994	127.06304070000002	덕정동 223-8
스타벅스 양주송추DT점	37.717525099999996	126.9730933	교현리 112-2
스타벅스 여수둔덕DT점	34.7689468	127.6974692	둔덕동 491-1
스타벅스 여수학동DT점	34.7614394	127.660968	학동 67-6 18, 19
스타벅스 여주DT점	37.266224	127.638154	경기도 여주군 여주읍 점봉리 429-12
스타벅스 역곡역DT점	37.483483299999996	126.80929909999999	괴안동 112-25
스타벅스 연희DT점	37.5701744	126.93396470000002	연희동 87-7 ,87-8
스타벅스 영등포신길DT점	37.504557299999995	126.9100739	신길동 252-9 253-331253-333253-334253-335253-336
스타벅스 오산IC DT점	37.1433302	127.0789307	원동 119-85
스타벅스 오산갈곶DT점	37.1290776	127.07122450000001	갈곶동 244-3 245, 245-1, 245-5번지
스타벅스 온천장역DT점	35.223955200000006	129.086568	장전동 607-6
스타벅스 용인김량장DT점	37.239832	127.2104973	김량장동 177-1
스타벅스 용인동백DT점	37.274538899999996	127.14127140000002	상하동 461-2
스타벅스 용인마북DT점	37.294732399999994	127.1102926	마북동 502-152
스타벅스 용인보라DT점	37.2553805	127.10438640000001	보라동 376-6
스타벅스 용인상하DT점	37.2596715	127.1424797	경기 용인시 기흥구 상하동 249-2
스타벅스 용인시청DT점	37.2402898	127.1709346	삼가동 197-4 197-7, 264-6
스타벅스 울산MBC DT점	35.5616281	129.3323601	복산동 40-6
스타벅스 울산남구청DT점	35.5441545	129.3245996	신정동 133-1
스타벅스 울산도산사거리DT점	35.5311407	129.3301545	울산 남구 야음동 580
스타벅스 울산북구청DT점	35.5834832	129.35888390000002	연암동 1223-2 2필지
스타벅스 울산시청사거리DT점	35.5372128	129.313549	달동 875-12
스타벅스 울산정자비치DT점	35.6271636	129.44112890000002	산하동 398
스타벅스 울산중리사거리DT점	35.54388	129.3386831	삼산동 1545-5
스타벅스 울산호계DT점	35.637989000000005	129.345312	울산광역시 북구 농소2동 546-2
스타벅스 원당DT점	37.6581532	126.8376202	주교동 620-1
스타벅스 원주명륜DT점	37.335916	127.9499284	명륜동 290-1
스타벅스 원주반곡DT점	37.3196347	127.97157179999999	반곡동 1141
스타벅스 을숙도강변DT점	35.115260299999996	128.9595779	하단동 1157-17
스타벅스 의왕청계DT점	37.388107700000006	126.9984271	경기 의왕시 청계동 829-4
스타벅스 의정부녹양DT점	37.75847879999999	127.0402351	가능동 93-1 92-2 (2필지)
스타벅스 의정부신곡DT점	37.7261653	127.0647318	경기 의정부시 신곡동 263-17
스타벅스 의정부예술의전당DT점	37.733071	127.0388841	의정부동 543-6
스타벅스 의정부용현DT점	37.730562799999994	127.0843037	경기 의정부시 용현동 189-3 4, 20, 21, 22(5필지)
스타벅스 의정부회룡역DT점	37.7223727	127.04747649999999	호원동 433-1
스타벅스 이천사음DT점	37.2991064	127.4078413	사음동 572-1
스타벅스 이천증포DT점	37.29678320000001	127.45743200000001	경기 이천시 증포동 216-3 216-8, 216-10, 216-13, 217-5, 217-7
스타벅스 익산영등DT점	35.959343100000005	126.9688995	영등동 340-11
스타벅스 인천간석DT점	37.4697191	126.69074509999999	간석동 617-6
스타벅스 인천갈산DT점	37.5187059	126.7320347	갈산동 32-2 34-1
스타벅스 인천강화DT점	37.743419700000004	126.4907102	갑곳리 203-10
스타벅스 인천당하DT점	37.593359	126.675556	당하동 1092-7
스타벅스 인천동춘DT점	37.4124945	126.66439199999999	동춘동 224-5
스타벅스 인천서구청DT점	37.5424162	126.67636	심곡동 248-5
스타벅스 인천송도DT점	37.3994143	126.62975630000001	송도동 8-17 레인보우빌딩
스타벅스 인천용현DT점	37.452337299999996	126.63258090000001	용현동 630-9
스타벅스 인천학익DT점	37.440475	126.662757	인천광역시 남구 학익1동 매소홀로 368
스타벅스 일산덕이DT점	37.69179329999999	126.7565987	덕이동 469 469-1
스타벅스 일산애니골DT점	37.6745369	126.7931915	풍동 609
스타벅스 일산풍동DT점	37.6621092	126.80095130000001	경기 고양시 일산동 풍동 879
스타벅스 전남광양DT점	34.943108	127.697944	전라남도 광양시 중동 1321-5
스타벅스 전북대병원DT점	35.8415265	127.1371127	전북 전주시 덕진구 금암동 1552-19
스타벅스 전북정읍DT점	35.570272700000004	126.8517013	수성동 449-1
스타벅스 전주덕진광장DT점	35.8428779	127.12420530000001	덕진동1가 1275-22
스타벅스 전주백제대로DT점	35.8146019	127.1234249	중화산동2가 648
스타벅스 전주송천DT점	35.867298100000006	127.121917	송천동2가 487
스타벅스 전주평화DT점	35.788362400000004	127.1312939	평화동2가 300-1
스타벅스 전주효자DT점	35.8058839	127.11108429999999	효자동1가 410-6
스타벅스 제주도남DT점	33.4803586	126.523452	도남동 377
스타벅스 제주삼화DT점	33.5117687	126.58047340000002	제주 제주시 도련일동 2191-2
스타벅스 제주성산DT점	33.4445754	126.90950249999999	고성리 238
스타벅스 제주애월DT점	33.4726175	126.34874690000001	고내리 340
스타벅스 제주외도DT점	33.4923073	126.4271223	외도일동 401-1
스타벅스 제주용담DT점	33.512345	126.48456399999999	용담삼동 2572-4 화이트하우스
스타벅스 제주중문DT점	33.254998300000004	126.4159059	제주 서귀포시 천제연로 95
스타벅스 제천DT점	37.1436691	128.2128533	중앙로2가 68-3
스타벅스 종암DT점	37.591952500000005	127.03604009999998	종암동 29-10
스타벅스 진주칠암DT점	35.174793	128.092816	주약동 109-3 9필지
스타벅스 진해자은DT점	35.14379279999999	128.70688130000002	자은동 793-2
스타벅스 창원역DT점	35.25697520000001	128.6078822	팔용동 157-2
스타벅스 창원호계DT점	35.2615074	128.5230356	호계리 177-2
스타벅스 천안IC DT점	36.82037570000001	127.1613598	신부동 495-1
스타벅스 천안두정역DT점	36.8328657	127.1461575	두정동 71-13
스타벅스 천안불당DT점	36.80538189999999	127.106278	불당동 1844
스타벅스 천안서부대로DT점	36.8035728	127.12718000000001	쌍용동 254
스타벅스 천안성정DT점	36.82532	127.1402297	성정동 625-3
스타벅스 청주봉명DT점	36.6385174	127.45983770000001	봉명동 1404 SK주유소
스타벅스 청주비하DT점	36.6384221	127.42219479999999	비하동 671-11
스타벅스 청주사직DT점	36.6358593	127.48118000000001	충북 청주시 서원구 사직동 126-14
스타벅스 청주용담DT점	36.6342108	127.505078	충북 청주시 상당구 용담동 324-36
스타벅스 청주용암DT점	36.607523	127.50391280000001	용암동 1693 행복을 만드는집
스타벅스 청주율량DT점	36.666229	127.49312820000002	율량동 1068
스타벅스 춘천석사DT점	37.8566079	127.7393261	석사동 799-4
스타벅스 춘천후평DT점	37.8792637	127.75075259999998	강원 춘천시 후평동 700-1
스타벅스 충남보령DT점	36.34082539999999	126.58932479999999	궁촌동 133-1
스타벅스 충주시청DT점	36.9901946	127.92868429999999	금릉동 714
스타벅스 충주호암DT점	36.9589788	127.92369840000002	호암동 653-2 4
스타벅스 평내DT점	37.6477605	127.2346938	평내동 246-2
스타벅스 평촌역DT점	37.3965683	126.97161580000001	관양동 902 1필지
스타벅스 평택서정DT점	37.065982	127.063464	서정동 813-2
스타벅스 평택안중DT점	36.9908158	126.91341570000002	현화리 649-4 649-8, 649-10, 652, 652-1
스타벅스 포천DT점	37.8484032	127.1616196	선단동 557
스타벅스 포항쌍용DT점	36.015594	129.353048	경상북도 포항시 남구 상대동 601-2
스타벅스 포항장성DT점	36.0745354	129.38421409999998	장성동 1577-8
스타벅스 포항죽도DT점	36.018436200000004	129.3480514	죽도동 699-1
스타벅스 풍무사거리DT점	37.6077784	126.7227423	풍무동 57-1
스타벅스 풍무역DT점	37.61033320000001	126.73743130000001	풍무동 326-4
스타벅스 하남미사DT점	37.56755029999999	127.18924070000001	망월동 1066-3
스타벅스 해운대달맞이DT점	35.161563	129.17123700000002	부산광역시 해운대구 중동 달맞이길 57
스타벅스 화곡DT점	37.5350355	126.8631182	화곡동 772-67
스타벅스 화성병점DT점	37.2126104	127.03822949999999	진안동 873-4
